first_name,last_name,team,salary,pos,age,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts
Precious,Achiuwa,TOR,2711280.00,C,22,73,28,1725,265,603,0.439,56,156,0.359,209,447,0.468,0.486,78,131,0.595,146,327,473,82,37,41,84,151,664
Bam,Adebayo,MIA,28103550.00,C,24,56,56,1825,406,729,0.557,0,6,0,406,723,0.562,0.557,256,340,0.753,137,427,564,190,80,44,148,171,1068
LaMarcus,Aldridge,BRK,2641691.00,C,36,47,12,1050,252,458,0.55,14,46,0.304,238,412,0.578,0.566,89,102,0.873,73,185,258,42,14,47,44,78,607
Grayson,Allen,MIL,4054695.00,SG,26,66,61,1805,255,569,0.448,159,389,0.409,96,180,0.533,0.588,64,74,0.865,32,190,222,100,46,18,43,96,733
Jarrett,Allen,CLE,20000000.00,C,23,56,56,1809,369,545,0.677,1,10,0.1,368,535,0.688,0.678,165,233,0.708,192,410,602,92,44,75,94,97,904
Jose,Alvarado,NOP,1500000.00,PG,23,54,1,834,131,294,0.446,32,110,0.291,99,184,0.538,0.5,36,53,0.679,25,75,100,152,71,7,40,73,330
Kyle,Anderson,MEM,9937150.00,PF,28,69,11,1484,209,469,0.446,36,109,0.33,173,360,0.481,0.484,67,105,0.638,69,299,368,183,77,45,71,108,521
Giannis,Antetokounmpo,MIL,39344970.00,PF,27,67,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002
Carmelo,Anthony,LAL,2641691.00,PF,37,69,3,1793,319,723,0.441,149,397,0.375,170,326,0.521,0.544,132,159,0.83,62,226,288,68,47,52,59,166,919
Cole,Anthony,ORL,3449400.00,PG,21,65,65,2059,357,912,0.391,132,391,0.338,225,521,0.432,0.464,216,253,0.854,32,316,348,369,46,17,170,171,1062
OG,Anunoby,TOR,16071429.00,SF,24,48,48,1728,309,697,0.443,115,317,0.363,194,380,0.511,0.526,89,118,0.754,74,190,264,125,71,25,80,131,822
Deni,Avdija,WAS,4692840.00,SF,21,82,8,1984,250,579,0.432,82,259,0.317,168,320,0.525,0.503,103,136,0.757,52,373,425,167,59,44,87,190,685
Deandre,Ayton,PHO,12632950.00,C,23,58,58,1713,442,697,0.634,7,19,0.368,435,678,0.642,0.639,106,142,0.746,149,444,593,84,40,40,91,142,997
LaMelo,Ball,CHO,8231760.00,PG,20,75,75,2422,538,1254,0.429,220,565,0.389,318,689,0.462,0.517,212,243,0.872,108,393,501,571,119,30,245,237,1508
Lonzo,Ball,CHI,18604651.00,PG,24,35,35,1212,162,383,0.423,110,260,0.423,52,123,0.423,0.567,21,28,0.75,35,155,190,178,64,31,82,85,455
Mo,Bamba,ORL,7568742.00,C,23,71,69,1824,296,617,0.48,107,281,0.381,189,336,0.563,0.566,57,73,0.781,148,424,572,85,38,118,77,182,756
Desmond,Bane,MEM,2033160.00,SF,23,76,76,2266,508,1101,0.461,228,523,0.436,280,578,0.484,0.565,140,155,0.903,46,288,334,208,92,29,111,196,1384
Dalano,Banton,TOR,925258.00,SF,22,64,1,696,83,202,0.411,13,51,0.255,70,151,0.464,0.443,26,44,0.591,38,86,124,99,28,10,53,68,205
Harrison,Barnes,SAC,20284091.00,PF,29,77,77,2587,391,834,0.469,142,360,0.394,249,474,0.525,0.554,341,413,0.826,82,350,432,186,53,14,118,94,1265
Charles,Bassey,PHI,925258.00,PF,21,23,0,168,30,47,0.638,0,4,0,30,43,0.698,0.638,9,12,0.75,22,40,62,7,5,17,8,32,69
Keita,Bates-Diop,SAS,1729217.00,SF,26,59,14,956,136,263,0.517,17,55,0.309,119,208,0.572,0.549,46,61,0.754,62,169,231,41,27,14,45,61,335
Kent,Bazemore,LAL,2401537.00,SF,32,39,14,545,45,139,0.324,29,80,0.363,16,59,0.271,0.428,13,17,0.765,13,56,69,34,25,9,21,70,132
Darius,Bazley,OKC,2513040.00,PF,21,69,53,1924,274,649,0.422,80,269,0.297,194,380,0.511,0.484,117,170,0.688,71,365,436,97,58,70,90,68,745
Bradley,Beal,WAS,34502130.00,SG,28,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928
Malik,Beasley,MIN,14391964.00,SG,25,79,18,1976,332,850,0.391,240,637,0.377,92,213,0.432,0.532,49,60,0.817,26,201,227,116,43,12,43,88,953
Patrick,Beverley,MIN,14320988.00,PG,33,58,54,1476,177,436,0.406,83,242,0.343,94,194,0.485,0.501,96,133,0.722,62,178,240,268,67,52,73,174,533
Khem,Birch,TOR,6350000.00,C,29,55,28,991,97,200,0.485,0,14,0,97,186,0.522,0.485,53,71,0.746,122,117,239,56,30,26,29,104,247
Goga,Bitadze,IND,3098400.00,C,22,50,16,729,131,252,0.52,23,80,0.288,108,172,0.628,0.565,64,94,0.681,79,98,177,55,21,42,46,107,349
Nemanja,Bjelica,GSW,2089448.00,C,33,71,0,1142,160,342,0.468,54,149,0.362,106,193,0.549,0.547,59,81,0.728,62,232,294,159,41,26,87,128,433
Eric,Bledsoe,POR,18125000.00,PG,32,54,29,1361,197,468,0.421,51,163,0.313,146,305,0.479,0.475,89,117,0.761,28,154,182,225,69,19,116,85,534
Bol,Bol,ORL,2161152.00,PF,22,14,0,81,15,27,0.556,1,4,0.25,14,23,0.609,0.574,2,5,0.4,4,16,20,5,1,2,4,4,33
Leandro,Bolmaro,MIN,2353320.00,SF,21,35,2,241,17,54,0.315,5,18,0.278,12,36,0.333,0.361,11,13,0.846,16,27,43,21,6,0,13,26,50
Isaac,Bonga,TOR,1729217.00,SF,22,15,0,69,3,13,0.231,1,4,0.25,2,9,0.222,0.269,5,8,0.625,4,3,7,4,8,2,2,10,12
Devin,Booker,PHO,31610000.00,SG,25,68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822
Brandon,Boston,LAC,925258.00,SG,20,51,0,760,125,325,0.385,34,111,0.306,91,214,0.425,0.437,59,72,0.819,17,94,111,51,26,13,31,43,343
Chris,Boucher,TOR,7009615.00,PF,29,80,9,1690,268,577,0.464,68,229,0.297,200,348,0.575,0.523,150,193,0.777,179,315,494,25,49,75,42,174,754
James,Bouknight,CHO,4154400.00,SG,21,31,0,304,49,141,0.348,17,49,0.347,32,92,0.348,0.408,27,31,0.871,22,30,52,26,7,1,15,29,142
Avery,Bradley,LAL,2641691.00,SG,31,62,45,1406,148,350,0.423,82,210,0.39,66,140,0.471,0.54,16,18,0.889,31,105,136,47,53,9,38,118,394
Oshae,Brissett,IND,1701593.00,SF,23,67,25,1564,208,506,0.411,83,237,0.35,125,269,0.465,0.493,114,164,0.695,108,250,358,72,44,29,54,116,613
Malcolm,Brogdon,IND,21700000.00,PG,29,36,36,1206,243,543,0.448,58,186,0.312,185,357,0.518,0.501,143,167,0.856,33,152,185,212,30,14,77,71,687
Dillon,Brooks,MEM,12200000.00,SF,26,32,31,885,227,526,0.432,46,149,0.309,181,377,0.48,0.475,90,106,0.849,29,73,102,88,36,8,50,105,590
Bruce,Brown,BRK,4736102.00,SF,25,72,45,1774,256,506,0.506,38,94,0.404,218,412,0.529,0.543,97,128,0.758,100,245,345,148,77,52,56,176,647
Greg,Brown,POR,925258.00,SF,20,48,6,640,81,190,0.426,19,61,0.311,62,129,0.481,0.476,44,65,0.677,38,97,135,35,26,24,36,90,225
Jaylen,Brown,BOS,24830357.00,SF,25,66,66,2220,576,1217,0.473,166,464,0.358,410,753,0.544,0.541,241,318,0.758,53,351,404,231,70,18,178,163,1559
Jalen,Brunson,DAL,1802057.00,PG,25,79,61,2524,506,1008,0.502,94,252,0.373,412,756,0.545,0.549,179,213,0.84,43,266,309,377,66,3,124,151,1285
Reggie,Bullock,DAL,9536000.00,SF,30,68,37,1902,201,501,0.401,141,392,0.36,60,109,0.55,0.542,40,48,0.833,33,208,241,83,41,14,40,111,583
Alec,Burks,NYK,9536000.00,SG,30,81,44,2318,285,728,0.391,157,389,0.404,128,339,0.378,0.499,217,264,0.822,47,350,397,239,85,26,91,215,944
Jared,Butler,UTA,925258.00,SG,21,42,1,360,61,151,0.404,28,88,0.318,33,63,0.524,0.497,11,16,0.688,5,40,45,63,17,8,33,47,161
Jimmy,Butler,MIA,36016200.00,SF,32,57,57,1931,398,829,0.48,27,116,0.233,371,713,0.52,0.496,396,455,0.87,102,234,336,312,94,27,121,88,1219
Kentavious,Caldwell-Pope,WAS,13038862.00,SG,28,77,77,2329,361,829,0.435,159,408,0.39,202,421,0.48,0.531,137,154,0.89,41,220,261,145,83,26,97,139,1018
Facundo,Campazzo,DEN,3804150.00,PG,30,65,4,1184,107,296,0.361,58,193,0.301,49,103,0.476,0.459,60,78,0.769,23,94,117,220,63,23,67,124,332
Clint,Capela,ATL,17103448.00,C,27,74,73,2042,370,604,0.613,0,1,0,370,603,0.614,0.613,80,169,0.473,279,598,877,92,55,93,44,166,820
Alex,Caruso,CHI,8604651.00,SG,27,41,18,1147,102,256,0.398,42,126,0.333,60,130,0.462,0.48,58,73,0.795,33,115,148,165,71,15,57,106,304
Josh,Christopher,HOU,2259240.00,SG,20,74,2,1334,224,500,0.448,56,189,0.296,168,311,0.54,0.504,83,113,0.735,52,134,186,150,65,13,114,97,587
Gary,Clark,NOP,377645.00,PF,27,38,1,378,33,88,0.375,28,70,0.4,5,18,0.278,0.534,7,10,0.7,23,67,90,18,13,7,10,20,101
Brandon,Clarke,MEM,2726880.00,PF,25,64,1,1246,288,447,0.644,5,22,0.227,283,425,0.666,0.65,85,130,0.654,135,207,342,86,39,68,34,122,666
Jordan,Clarkson,UTA,12420000.00,SG,29,79,1,2141,466,1113,0.419,190,597,0.318,276,516,0.535,0.504,144,174,0.828,67,206,273,194,66,16,129,149,1266
Amir,Coffey,LAC,153488.00,SG,24,69,30,1567,211,466,0.453,96,254,0.378,115,212,0.542,0.556,101,117,0.863,26,171,197,124,38,15,45,87,619
John,Collins,ATL,23000000.00,PF,24,54,53,1663,339,644,0.526,64,176,0.364,275,468,0.588,0.576,134,169,0.793,93,329,422,98,33,56,60,164,876
Mike,Conley,UTA,21000000.00,PG,34,72,72,2058,344,791,0.435,169,414,0.408,175,377,0.464,0.542,129,162,0.796,47,170,217,385,96,21,123,142,986
Pat,Connaughton,MIL,5333333.00,SG,29,65,19,1691,227,496,0.458,146,370,0.395,81,126,0.643,0.605,45,54,0.833,45,228,273,82,59,15,35,86,645
Jae,Crowder,PHO,9720900.00,PF,31,67,67,1886,217,544,0.399,127,365,0.348,90,179,0.503,0.516,71,90,0.789,30,324,354,124,95,30,55,173,632
Jarrett,Culver,MEM,6395160.00,SG,22,37,0,338,51,135,0.378,12,47,0.255,39,88,0.443,0.422,16,34,0.471,13,35,48,33,20,5,20,42,130
Cade,Cunningham,DET,10050120.00,PG,20,64,64,2088,429,1031,0.416,114,363,0.314,315,668,0.472,0.471,142,168,0.845,58,296,354,356,78,43,234,200,1114
